                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2642,                 2.1388,                 1.1177,                0.93181,                0.86818,                0.94771,                0.63614,                  1.247,                 1.1646,                 1.1313,              0.0005548,              0.0005548,              0.0005548
                      2,                  1.125,                0.94892,                 1.0652,                 0.7179,                0.86245,                0.94343,                0.65609,                 1.2152,                 1.5965,                 1.1277,              0.0010665,              0.0010665,              0.0010665
                      3,                 1.0949,                0.81297,                 1.0639,                0.85824,                0.91615,                0.94723,                0.64487,                 1.2047,                0.96665,                 1.1472,              0.0015342,              0.0015342,              0.0015342
                      4,                 1.0697,                0.76007,                 1.0519,                0.93864,                0.86018,                0.95618,                0.67503,                 1.1546,                0.92459,                 1.1008,               0.001469,               0.001469,               0.001469
                      5,                 1.0238,                0.70162,                 1.0326,                0.90958,                0.88286,                0.95914,                0.65706,                 1.2221,                0.97599,                 1.1341,               0.001469,               0.001469,               0.001469
                      6,                 1.0008,                0.67859,                 1.0179,                  0.917,                0.87879,                0.94789,                0.65762,                 1.2339,                 1.0272,                 1.1423,              0.0014029,              0.0014029,              0.0014029
                      7,                0.98476,                0.65282,                 1.0097,                0.88866,                0.90236,                0.95813,                0.69219,                 1.1558,                0.84723,                 1.0966,              0.0013369,              0.0013369,              0.0013369
                      8,                0.96496,                0.62748,                 1.0047,                0.91605,                0.90381,                0.96814,                0.69706,                 1.1131,                0.89124,                 1.0876,              0.0012709,              0.0012709,              0.0012709
                      9,                0.94912,                0.60259,                0.99772,                0.93821,                0.87601,                0.96463,                0.70065,                 1.1101,                 0.8148,                  1.073,              0.0012049,              0.0012049,              0.0012049
                     10,                0.92877,                0.60229,                0.98437,                0.92789,                0.88741,                0.96808,                0.68859,                 1.2143,                0.93548,                 1.1408,              0.0011389,              0.0011389,              0.0011389
                     11,                 0.9238,                0.57455,                0.98671,                0.93765,                0.89006,                0.96312,                0.72336,                 1.0769,                0.76409,                 1.0629,              0.0010729,              0.0010729,              0.0010729
                     12,                0.91022,                0.56947,                0.97967,                0.90184,                0.90926,                0.96445,                0.71035,                 1.0956,                  0.817,                 1.0728,              0.0010069,              0.0010069,              0.0010069
                     13,                 0.9112,                0.56506,                0.97997,                0.93121,                0.88749,                0.96753,                0.70538,                   1.15,                0.80581,                  1.092,             0.00094085,             0.00094085,             0.00094085
                     14,                0.90032,                0.55345,                0.97378,                0.90666,                0.91265,                0.96681,                0.72209,                 1.0732,                0.92758,                 1.0519,             0.00087484,             0.00087484,             0.00087484
                     15,                0.88147,                0.53577,                0.96549,                0.92773,                0.89357,                0.96922,                0.71928,                 1.1031,                0.88857,                 1.0745,             0.00080883,             0.00080883,             0.00080883
                     16,                0.84613,                0.48317,                 1.0068,                0.94935,                0.88357,                0.96236,                0.71849,                 1.0877,                 0.7497,                 1.0676,             0.00074282,             0.00074282,             0.00074282
                     17,                0.82573,                0.46837,                0.99175,                0.92054,                 0.9081,                0.96763,                0.73175,                 1.0596,                0.72889,                 1.0453,              0.0006768,              0.0006768,              0.0006768
                     18,                0.81582,                0.45658,                 0.9939,                0.90905,                0.91734,                0.96999,                 0.7143,                 1.1335,                 0.7178,                 1.0784,             0.00061079,             0.00061079,             0.00061079
                     19,                0.80477,                0.45145,                0.98483,                0.90353,                0.92406,                0.97189,                0.74104,                 1.0417,                 0.7389,                 1.0431,             0.00054478,             0.00054478,             0.00054478
                     20,                0.78743,                0.44216,                0.97952,                0.92783,                0.90758,                0.97168,                0.73028,                 1.0747,                0.67768,                 1.0588,             0.00047876,             0.00047876,             0.00047876
                     21,                0.78116,                0.42672,                0.97176,                0.92488,                0.91652,                0.96997,                0.73949,                 1.0442,                0.68818,                 1.0411,             0.00041275,             0.00041275,             0.00041275
                     22,                0.76904,                0.41977,                0.97169,                0.91752,                0.90818,                0.96623,                0.73304,                 1.0674,                0.75564,                 1.0507,             0.00034674,             0.00034674,             0.00034674
                     23,                0.75955,                0.40801,                0.96535,                0.91922,                0.91061,                0.96517,                0.73842,                  1.049,                0.72116,                 1.0477,             0.00028072,             0.00028072,             0.00028072
                     24,                0.74092,                 0.3979,                0.95904,                0.92674,                0.91009,                0.97092,                0.73759,                 1.0672,                0.69241,                 1.0555,             0.00021471,             0.00021471,             0.00021471
                     25,                0.73956,                  0.392,                0.95337,                0.93799,                0.89193,                0.96664,                0.73593,                 1.0639,                0.71354,                 1.0522,              0.0001487,              0.0001487,              0.0001487
