                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75067,                0.41698,                 1.0022,                0.94774,                0.89034,                0.96567,                0.73232,                 1.0896,                0.74939,                 1.1775,              0.0005548,              0.0005548,              0.0005548
                      2,                0.81308,                 0.4699,                 1.0286,                 0.9375,                0.90089,                0.97278,                0.69125,                 1.1926,                0.68141,                 1.2449,              0.0010005,              0.0010005,              0.0010005
                      3,                0.83715,                0.49522,                 1.0416,                0.94322,                0.88983,                0.96816,                0.69661,                 1.1758,                0.67365,                  1.231,              0.0013362,              0.0013362,              0.0013362
                      4,                0.83593,                 0.4951,                 1.0416,                0.95819,                0.87728,                0.96468,                0.72879,                 1.0825,                0.75207,                 1.1719,              0.0011719,              0.0011719,              0.0011719
                      5,                0.82875,                0.49249,                 1.0467,                 0.9408,                0.88632,                0.97011,                0.72517,                 1.0633,                 0.6674,                 1.1644,              0.0011719,              0.0011719,              0.0011719
                      6,                0.81025,                0.47306,                 1.0338,                0.94309,                 0.8965,                 0.9691,                0.72393,                  1.095,                0.67878,                 1.1864,              0.0010069,              0.0010069,              0.0010069
                      7,                0.78989,                0.45416,                 1.0313,                0.93659,                0.91514,                0.97043,                0.72203,                 1.0883,                0.64747,                 1.1823,             0.00084184,             0.00084184,             0.00084184
                      8,                0.77193,                0.43107,                 1.0162,                0.94592,                 0.8947,                0.97135,                0.72765,                 1.0684,                0.61602,                 1.1732,              0.0006768,              0.0006768,              0.0006768
                      9,                0.75398,                0.41788,                 1.0087,                0.94034,                0.90054,                0.96765,                0.71472,                  1.146,                0.66388,                 1.2096,             0.00051177,             0.00051177,             0.00051177
                     10,                0.73312,                0.39782,                 0.9987,                0.93338,                 0.9183,                 0.9751,                0.73197,                 1.0754,                 0.6004,                 1.1804,             0.00034674,             0.00034674,             0.00034674
