                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2704,                 2.0556,                  1.301,                0.90585,                0.87647,                0.94595,                0.66546,                 1.0706,                 1.2992,                 1.1813,               0.070047,              0.0033281,              0.0033281
                      1,                 1.1091,                0.98751,                 1.1836,                0.91484,                0.87795,                0.95056,                0.66074,                 1.1225,                 1.1855,                 1.2211,               0.039607,              0.0062218,              0.0062218
                      2,                 1.1262,                0.97113,                 1.1899,                0.89516,                0.85105,                 0.9292,                0.63644,                  1.127,                 2.0134,                 1.2265,              0.0087276,              0.0086755,              0.0086755
                      3,                 1.1204,                0.89344,                 1.1957,                 0.8956,                0.88329,                0.95145,                 0.6496,                 1.1194,                 1.6581,                 1.2305,                0.00802,                0.00802,                0.00802
                      4,                 1.0638,                 0.7862,                 1.1539,                0.91781,                0.87002,                0.94699,                0.66656,                 1.0921,                 1.5238,                 1.1939,                0.00802,                0.00802,                0.00802
                      5,                0.98904,                0.69634,                 1.2193,                0.90388,                0.89696,                0.94595,                0.67097,                 1.0836,                 2.0926,                 1.1804,                0.00736,                0.00736,                0.00736
                      6,                0.95497,                0.64501,                 1.1876,                0.92621,                0.88063,                0.96678,                0.68963,                 1.1045,                 1.7174,                 1.1845,                 0.0067,                 0.0067,                 0.0067
                      7,                0.93245,                0.61035,                 1.1718,                0.90163,                0.91069,                0.96958,                0.70203,                 1.0472,                 1.1991,                 1.1488,                0.00604,                0.00604,                0.00604
                      8,                0.90782,                0.58118,                 1.1475,                0.91341,                0.90261,                0.96633,                0.70863,                 1.0152,                 1.1009,                 1.1253,                0.00538,                0.00538,                0.00538
                      9,                 0.8862,                0.55839,                 1.1353,                0.92307,                0.89835,                0.97115,                0.70313,                 1.0661,                 1.4797,                 1.1517,                0.00472,                0.00472,                0.00472
                     10,                 0.8667,                0.52825,                 1.1171,                0.91021,                0.91138,                0.96897,                0.70262,                  1.096,                0.97644,                 1.1673,                0.00406,                0.00406,                0.00406
                     11,                0.84898,                0.50989,                 1.1113,                0.93223,                0.89476,                0.97072,                0.70556,                 1.0782,                 1.2291,                 1.1454,                 0.0034,                 0.0034,                 0.0034
                     12,                0.83064,                0.48964,                 1.0888,                0.90878,                0.91745,                0.97063,                0.73073,                 1.0159,                 1.1707,                 1.1199,                0.00274,                0.00274,                0.00274
                     13,                0.80995,                0.46364,                 1.0806,                0.90051,                0.93052,                0.97249,                0.72869,                 0.9982,                  1.504,                 1.1123,                0.00208,                0.00208,                0.00208
                     14,                 0.7841,                0.43947,                 1.0629,                0.90785,                0.91947,                0.97099,                 0.7126,                  1.066,                 1.6009,                 1.1489,                0.00142,                0.00142,                0.00142
